cleaned_name,cluster
Заместитель начальника управления,242.0
Начальник управления,214.0
Председатель комитета,238.0
Ведущий эксперт,766.0
Заместитель председателя комитета,581.0
Начальник отдела,182.0
Заместитель начальника отдела,
Директор,24.0
Главный бухгалтер,521.0
Художественный руководитель,
Заместитель директора,37.0
Заведующий музыкальной частью,
Секретарь делопроизводитель,646.0
Системный администратор,414.0
Главный администратор,1570.0
Артист солист ведущий мастер сцены,773.0
Сторож,560.0
Уборщик служебных помещений,1054.0
Преподаватель,139.0
Концертмейстер,419.0
Бухгалтер,61.0
Рабочий по комплексному обслуживанию ремонту зданий,1663.0
Секретарь учебной части,464.0
Вахт,236.0
Заведующий хозяйством,366.0
Библиотекарь,
Настройщик пианино роялей,1050.0
Заведующий отделом,1636.0
Главный библиотекарь,781.0
Ведущий библиотекарь,1395.0
Заведующий сектором,527.0
Заведующий филиалом,
Инженер-энергетик,662.0
Переплетчик документов,872.0
Ведущий юрисконсульт,542.0
Ведущий библиограф,1279.0
Программист,104.0
Специалист по связям общественностью,217.0
Заведующий архивом,812.0
Заместитель директора по основной деятельности,37.0
Главный библиограф,702.0
Ведущий бухгалтер,1683.0
Заместитель директора по библиотечной работе,830.0
Инженер-программист,136.0
Ведущий экономист,571.0
Ведущий инженер-программист,136.0
Библиограф,1279.0
Заместитель директора по административно-хозяйственной части,1628.0
Гардеробщик,1304.0
Документовед,535.0
Методист,57.0
Юрисконсульт,542.0
Заместитель главного бухгалтера,1679.0
Специалист по охране труда,374.0
Ученый секретарь,79.0
Экономист,571.0
Ведущий специалист по охране труда,374.0
Заместитель директора по библиотечной деятельности,830.0
Техник,394.0
Заместитель директора по инновационным направлениям,37.0
Ведущий инженер- программист,136.0
Заместитель директора по развитию,
Водитель,62.0
Специалист по защите информации,1646.0
Специалист по кадрам,187.0
Методист библиотеки,57.0
Заведующий сектором семейного чтения,751.0
Завсектором по работе дошкольниками,608.0
Инженер -программист,136.0
Художник,144.0
Рабочий по компл обслуж здания,1633.0
Подсобный рабочий,174.0
Секретарь,79.0
Заместитель министра,546.0
Заместитель министра начальник управления грантовой поддержки музейной деятельности цифровой трансформации,313.0
Референт,1292.0
Министр культуры,866.0
Главный консультант,164.0
Смотритель музейный,449.0
Специалист по учетно-хранительской документации,496.0
Заведующий выставочным залом,393.0
Художник компьютерной графики,144.0
Заведующий дом-музея чепцова,1443.0
Дворник,192.0
Младший научный сотрудник,36.0
Научный сотрудник,36.0
Художник-реставратор,270.0
Начальник хозяйственного отдела,1260.0
Заведующий библиотекой,
Заведующий реставрационной мастерской,
Старший научный сотрудник,36.0
Рабочий по комплексному обслуживанию ремонту здания,1663.0
Заведующий филиалом клыкова,
Заведующий отделом массовой работы,986.0
Главный хранитель,1190.0
Заведующий отделом декоративно-прикладного искусства,1181.0
Заместитель директора по научной работе,608.0
Заведующий отделом научно-вспомогательного фонда,1636.0
Главный специалист по правовым вопросам,1681.0
Начальник отдела кадров,1667.0
Кассир,172.0
Экономист по бухгалтерскому учету анализу хозяйственной деятельности,716.0
Истопник,689.0
Делопроизводитель,549.0
Рабочий,451.0
Вахтер,236.0
Настройщик музыкальных инструментов,683.0
Директор музея,1610.0
Заведующий канцелярией,893.0
Главный хранитель фондов,752.0
Специалист по учетно хранительской документации,496.0
Хранитель фондов,752.0
Заведующий складом,703.0
Уборщица,565.0
Педагог дополнительного образования,1642.0
Начальник административно-хозяйственной части,1009.0
Менеджер по рекламе,118.0
Гардеробщица,1304.0
Секретарь руководителя,725.0
Заведующий кабинетом,959.0
Инженер по охране труда противопожарной безопасности,122.0
Настройщик,683.0
Архивариус,665.0
Рабочий по обслуж здания,1633.0
Педагог организатор,28.0
Звукооператор,
Секретарь уч части,464.0
Костюмер,771.0
Педагог психолог,92.0
Медицинский работник,1023.0
Лаборант,234.0
Социальный педагог,326.0
Заведующий отделением,1636.0
Заместитель директора по учебно-воспитательной работе,124.0
Уборщик производственных служебных помещений,793.0
Рабочий по обслуживанию зданий,1633.0
Оператор котельной,
Уборщик территории,1280.0
Директор школы,1017.0
Преподаватель фортепиано,1634.0
Уборщик помещений,300.0
Рабочий по комплексному обслуживанию зданий,1663.0
Заместитель директора по учебной части,348.0
Профконсультант,1513.0
Студент,27.0
Воспитатель,43.0
Педагог-психолог,92.0
Педагог-организатор,28.0
Заместитель директора по административно-хозяйственной работе,1628.0
Главный специалист,211.0
Водитель автомобиля,111.0
Администратор,140.0
Заведующий практикой,1704.0
Преподаватель-организатор основ безопасности жизнедеятельности,1641.0
Заведующий учебной практикой,1704.0
Руководитель физического воспитания,873.0
Педагог,30.0
Совместитель,84.0
Заведующий костюмерной,771.0
Режиссер-постановщик,285.0
Звукорежиссер,
Монтировщик сцены,1203.0
Помощник художественного руководителя,432.0
Художник по свету,1037.0
Заведующий труппой,13.0
Художник-фоторгаф,144.0
Установщик декораций,969.0
Начальник технического отдела,1256.0
Художник-постановщик,302.0
Билетный кассир,567.0
Заведующий художественно-постановочной частью,352.0
Начальник производственного отдела,1236.0
Заведующий художественно-оформительской мастерской,352.0
Главный режиссер,802.0
Художник-гример,737.0
Столяр по изготовлению декораций,969.0
Художник по костюмам,144.0
Руководитель литературно-драматургической части,806.0
Заместитель директора главный режиссер,802.0
Осветитель,470.0
Балетмейстер,1071.0
Швея,1353.0
Художник декоратор,357.0
Помощник главного режиссера,1013.0
Реквизитор,1450.0
Специалист по связи общественностью,217.0
Начальник участка по реализации социальных кинопроектов,
Менеджер,118.0
Специалист по маркетингу,1184.0
Художник-фотограф,235.0
Старший инспектор по кадрам,1500.0
Ведущ бухгалтер,61.0
Инженер,27.0
Начальник отдела кадров правовой работы,1667.0
Инженер по обслуживанию,921.0
Звукорежисер,
Заместитель директора по кинопрокату,37.0
Начальник хоз отдела,848.0
Рабочий по обслуж ремонту зданий,1633.0
Заместитель директора по вопросам кинообсл населения,37.0
Монтажер,1203.0
Начальник участка по формированию фильмофонда учету фильмоматериалов,
Старший мастер,306.0
Кладовщик,249.0
Методист по составлению кинопрограмм,57.0
Редактор по репертуару,223.0
Заместитель начальника технического отдела,1256.0
Начальник участка статистики правов работы,
Преподаватель бс,139.0
Заместитель директора по общим вопросам,398.0
Специалист по охране труда технике безопасности,1680.0
Машинист сцены,615.0
Заведующий художественно постановочной частью,352.0
Артист,110.0
Художник конструктор,1360.0
Начальник мастерской,
Репетитор по вокалу,648.0
Старший билетный кассир,567.0
Начальник отдел кадров,1667.0
Артист ведущий мастер сцены,773.0
Контролер билетов,1105.0
Художник бутафор,1295.0
Художник модельер театрального костюма,339.0
Руководитель литературно драматургической частью,806.0
Инженер программист,136.0
Рабочий по комплексному обслуживанию здания,1663.0
Директор театра,24.0
Бутафор,1295.0
Изготовитель игровых кукол,1433.0
Заведующий билетными кассами,13.0
Оператор видеозаписи,70.0
Ведущий инженер энергетик,662.0
Диспетчер,1471.0
Экспедитор по перевозке грузов,561.0
Гример-постижер,737.0
Заведующий театрально производственной мастерской,277.0
Главный художник,1037.0
Режиссер постановщик,285.0
Художник постановщик,302.0
Инженер по охране труда технике безопасности,1680.0
Столяр,198.0
Дежурный по общежитию,311.0
Начальник отдела материально-технического снабжения,1693.0
Заместитель директора по учебной работе,348.0
Советник директора по воспитанию взаимодействию детскими общественными объединениями,1632.0
Заведующий учебно-производственной мастерской по ковроткачеству,277.0
Заведующий столовой,587.0
Заведующий общежитием,911.0
Повар,267.0
Инспектор по кадрам,287.0
Заведующий учебно- производственной мастерской по гончарному искусству,277.0
Заведующий музыкальной лабораторией,
Хормейстер,286.0
Заместитель директора по воспитательной работе,
Оператор компьютерного набора верстки,121.0
Уборщик территорий,528.0
Механик,256.0
Водитель атомобиля,62.0
Слесарь по ремонту автомобилей,1697.0
Ведущий диспетчер,56.0
Медицинская сестра,1023.0
Главный инженер,952.0
Тракторист,651.0
Рабочий зеленого хозяйства,736.0
Маляр,129.0
Дежурная по общежитию,311.0
Рабочий по комплексному обслуж ремонту зданий,1663.0
Заведующий практики,1704.0
Заведующий заочным отделением,1636.0
Заведующий учебного отделения,1387.0
Заведующий обоянским филиалом колдеджа,
Комендант,1062.0
Старший воспитатель,43.0
Заместитель директора по научно-методической работе,
Начальник отдела закупок,1658.0
Машинистка,376.0
Эксперт,386.0
Начальник службы безопасности,317.0
Заведующий фотолабораторией,13.0
Буфетчик,765.0
Преподаватель-организатор основам безопасности жизнедеятельности,1641.0
Руководитель физвоспитания,1142.0
Механник,256.0
Паспортист,471.0
Аккомпаниатор,299.0
Кастелянша,503.0
Слесарь-сантехник,939.0
Генеральный директор,24.0
Лектор,81.0
Культорганизатор,891.0
Хранитель музейных предметов,543.0
Ведущий специалист по маркетингу,1184.0
Кассир билетный,567.0
Заместитель директора по научно-фондовой работе,
Заместитель директора по научно-просветительной выставочной работе,
Специалист по учету музейных предметов,543.0
Хранитель экспонатов,1190.0
Редактор электронных баз данных музея,459.0
Художник реставратор,270.0
Специалист по снабжению,524.0
Рабочий по уходу за животными,1386.0
Организатор экскурсий,280.0
Садовник,192.0
Инженер-электрик,976.0
Главный специалист по связям общественностью,217.0
Главный научный сотрудник,36.0
Ветеринарный врач,354.0
Техник-программист,323.0
Главный специалист отдела кадров,1151.0
Инженер по надзору за строительством,1025.0
Организатор лекций,280.0
Руководитель кружка,777.0
Художник дизайнер,1213.0
Реставратор художественных изделий декоративных предметов,883.0
Главный экономист,571.0
Художник-дизайнер,1213.0
Главный художник-реставратор,270.0
Реставратор тканей гобеленов ковров,883.0
Ведущий ветеринарный врач,1660.0
Ветеринарный фельдшер,42.0
Руководитель,25.0
Начальник овсэ,19.0
Уполномоченный по защите прав предпринимателей курской области,967.0
Помощник уполномоченного,844.0
Заместитель руководителя,180.0
Техник по обслуживанию газовых котлов,1124.0
Мастер по промыслам,40.0
Заместитель директора по инновационной методической деятельности,1311.0
Заместитель директора по организационной творческой деятельности,1650.0
Заместитель директора по хозяйственной части,1009.0
Энергетик,350.0
Ведущий инженер,319.0
Заместитель директора по коммерческим вопросам,37.0
Уполномоченный по правам реб нка курской области,1074.0
Помощник уполномоченного по правам ребенка курской области,844.0
Начальник отдела информации,1207.0
Управляющий делами,
Уполномоченный по правам человека,1074.0
Операто котельной,
Заместитель директора по умр,1131.0
Преподаватель дши,1261.0
Преподаватель внешний,915.0
Рабочий по обслуживания газовой котельной,71.0
Рабочий по обслуживания здания,1633.0
Начальник отдела реализации продвижения туристских проектов,271.0
Начальник отдела развития туристской инфраструктуры,852.0
Начальник информационно-аналитического центра,
Настройщик духовых инструментов,365.0
Заместитель директора по внеклассной работе,443.0
Завхоз,927.0
Специалист по учебно-методической работе,
Убощик служебных помещений,347.0
Заместитель дироектора по учебно-воспитательной работе,181.0
Главный государственный инженер-инспектор,661.0
Главный государственный инженер-инспектор городов районов курской области по инспекционной работе,210.0
Главный государственный инженер-инспектор курска,661.0
Заместитель начальника инспекции-заместитель главного государственного инженера-инспектора курской области,1096.0
Главный консультант отдела финансового хозяйственного учета,862.0
Главный консультант организационно-аналитического отдела,164.0
Главный государственный инженер-инспектор суджанского районов,661.0
Начальник отдела финансового хозяйственного учета,862.0
Главный государственный инженер-инспектор железногорского дмитриевского районов,661.0
Начальник отдела регионального надзора,1321.0
Главный государственный инженер-инспектор городов районов курской области по надзору за аттракционами,210.0
Начальник инспекции-главный государственный инженер инспектор курской области,661.0
Начальник отдела-организационно-аналитический,984.0
Начальник отдела инспекционной работы,182.0
Начальник отдела -главный государственный инженер-инспектор курска,661.0
Заместитель главного государственного инженера-инспектора курска,1096.0
Главный специалист отдела археологической экспертизы,
Начальник инспекции,937.0
Заместитель начальника,424.0
Начальник отдела археологической экспертизы,
Главный специалист отдела архитектурно- исторической экспертизы,298.0
Начальник отдела архитектурно-исторической экспертизы,298.0
Архитектор отдела архитектурно-исторической экспертизы,298.0
Главный консультант ар,164.0
Главный консультант ит,164.0
Министр,866.0
Первый заместитель министра,478.0
Ведущий консультант,1605.0
Консультант,1513.0
Заместитель министра-начальник управления,313.0
Главный специалист информационно-технического отдела,202.0
Ведущий инженер программист отдела отраслевой цифровой трансформации,191.0
Главный специалист отдела связи,1123.0
Инженер программист отдела цифровой трансформации государственного управления,157.0
Начальник отдела связи,1123.0
Главный специалист по охране труда отдела правового кадрового административно-хозяйственного обеспечения,1202.0
Главный специалист отдела отраслевой цифровой трансформации,191.0
Инженер программист отдела защиты информации,1506.0
Заместитель начальника отдела правового кадрового административно-хозяйственного обеспечения,1202.0
Начальник отдела отраслевой цифровой трансформации,191.0
Инженер программист информационно-технического отдела,1514.0
Ведущий инженер программист отдела внедрения сопровождения информационных систем,200.0
Начальник отдела правового кадрового административно-хозяйственного обеспечения,1202.0
Заместитель начальника отдела цифровой трансформации государственного управления,157.0
Ведущий инженер программист отдела цифровой трансформации государственного управления,157.0
Ведущий инженер программист отдела защиты информации 21г,1506.0
Инженер программист одела защиты информации,1506.0
Главный специалист отдела сетевой инфраструкты сопровождения цод,252.0
Инженер программист отдела внедрения сопровождения информационных систем,200.0
Главный специалист отдела внедрения сопровождения информационных систем,200.0
Начальник отдела защиты информации,1645.0
Главный специалист отдела цифровой трансформации государственного управления,157.0
Главный юрисконсульт отдела правового кадрового административно-хозяйственного обеспечения,1202.0
Ведущий инженер программист отдела правового кадрового административно-хозяйственного обеспечения,87.0
Ведущий инженер программист информационно-технического отдела,1514.0
Главный специалист отдела сетевой инфраструктуры сопровождения цод,252.0
Инженер программист отдела мультимедийного сопровождния вкс,136.0
Главный специалист отдела защиты информации,1645.0
Заместитель начальника информационно-технического отдела,202.0
Заместитель начальника отдела защиты информации,1645.0
Начальник отдела внедрения сопровождения информационных систем,200.0
Главный специалист отдела правового кадрового административно-хозяйственного обеспечения,1202.0
Начальник информационно-технического отдела,202.0
