cluster_id,etalon_name
1,Режиссер театра
2,Конюх
3,Заведующий фил
4,Заведующая
5,Уборщик служебных помещений младший
6,Заведующий фапом
7,Специалист по обеспечению безопасности движения
8,Врач лаборант
9,Заведующий пункт- фельдшер
10,Художественный руководитель
11,Старший тренер преподаватель
12,Слесарь-ремонтик
13,Заведующий
14,Глава
15,Киномеханик к-ки
16,Заведующий пунктом акушер
17,Заведующий поликлиникой- врач-невролог
18,Заместитель начальника центра
19,Начальник
20,Санитарка кабинета
21,Директор центра
22,Оператор электр-вычис вычис машин
23,Первый заместитель главы начальник управления
24,Директор
25,Руководитель
26,Врач
27,Инженер
28,Педагог- организатор
29,Педагог социальный
30,Педагог
31,Заместитель директора по мед части
32,Специалист по охране труда уровня
33,Инструктор по воспитанию
34,Электромонтер по ремонту обслуживанию электрооборудования
35,Заведующий ветучастком
36,Младший научный сотрудник
37,Заместитель директора
38,Управляющий делами
39,Учитель
40,Мастер по промыслам
41,Рабочий по обслуживанию кортов
42,Ветеринарный фельдшер
43,Воспитатель
44,Главный специалист эксперт архитектор
45,Заведующий отделением паллиативной помощи взрослым-врач
46,Врач- инфекционист
47,Заместитель начальника отдела
48,Преподаватель без кат
49,Заместитель врача по кэр
50,Врач- педиатр участковый
51,Консультант управления организационной правовой кадровой
52,Врач травматолог-ортопед
53,Председатель
54,Учитель- логопед
55,Заведующий отделением врач отделения
56,Ведущий специалист диспетчер системы
57,Методист
58,Заведующий ветеринарным участком
59,Сестра кабинета врача-эндоскописта
60,Уборщик служебных помещений пункт
61,Бухгалтер
62,Водитель
63,Сестра врача хирурга
64,Заведующий отделением -врач-хирург
65,Ведущий специалист эксперт отдела социального
66,Начальник управления реестра актовых записей
67,Заведующий лабораторией врач-лаборант
68,Охотовед
69,Машинист погрузочной машины
70,Оператор
71,Слесарь газовой
72,Врач диагностии
73,Руководитель формирования
74,Пдо
75,Главный эксперт по мобилизационной подготовке
76,Заместитель главы
77,Врач стоматолог-хирург
78,Начальника отдела опеки попечительства
79,Секретарь
80,Ведущий специалист
81,Лектор
82,Техник-электрик
83,Ведущий специалист -эксперт секретарь административной
84,Совместитель
85,Научный сотрудник артист оркестра
86,Начальник отдела архитектуры градостроительства
87,Ведущий инженер программист отдела административно-хозяйственного
88,Начальник отдела- главный бухгалтер
89,Заведующий поликлиникой врач -терапевт
90,Заведующий поликлиникой врач психиатр
91,Ведущий специалист-эксперт отдела по опеке
92,Педагог- психолог
93,Заместитель главный врача по моб
94,Шеф- повар
95,Врач- уролог- андролог
96,Ведущий бухгалтер по учету отчетности
97,Специалист по контрольно-измерительным приборам автоматике
98,Киномеханик киноустановки
99,Врач-хирург поликлиники
100,Концертмейстер квалификационной категории
101,Врач анестезиолог-реаниматолог
102,Заместитель начальника отдела средств техники
103,Врач- рентгенолог
104,Программист
105,Уборщик служ помещ к-та -дет
106,Врач- неонатолог
107,Главный специалист-эксперт упарвления образования
108,Работник по благоустройству
109,Врач-гастроэнтеролог
110,Артист
111,Водитель автомобиля категории
112,Врач -педиатр
113,Врач ультразвуковой диагностики
114,Ведущий специалист-эксперт отдела защиты населения
115,Уборщик помещения
116,Врач стоматолог-терапевт
117,Помощник главы
118,Ведущий менеджер
119,Инструктор методист
120,Водитель отдела транспорта жкх
121,Оператор набора верстки
122,Инженер по охране труда
123,Специалист
124,Заместитель директора по работе
125,Главный специалист-эксперт референт службы класса
126,Заведующий архивохранилищем отдела комплектования обеспечения
127,Помощник врача -эпидемиолога
128,Заведующий отделением врач-терапевт
129,Маляр
130,Заведующий отделением врач-кардиолог
131,Артист-концертный исполнитель коллектива
132,Врач- терапевт
133,Главный специалист отдела учета отчетности
134,Слесарь ремонтник
135,Сестра кабинета врача педиатора ребенка
136,Инженер- программист
137,Заведующий отделением врач-хирург
138,Начальник отдела контроля за соблюдением
139,Преподаватель
140,Секретарь-администратор
141,Заместитель председателя правительства министр
142,Санитарка отделения
143,Врач -профпатолог
144,Художник
145,Заведующая отделом обслуживания
146,Помощник повара
147,Заместитель председателя комитета-начальник управления
148,Начальник отдела сопровождения контроля образования
149,Начальник управления строительства архитектуры жкх
150,Учитель математики классы
151,Заместитель начальника еддс старший дежурный
152,Электромеханик по ремонту обслуживанию медицинского
153,Врач фармаколог
154,Ведущий консультант управления организации развития
155,Врач- фтизиатр участковый
156,Библиотекарь
157,Начальник отдела цифровой трансформации управления
158,Специалист отдела загс
159,Лаборатный техник
160,Хормейстер народ коллект любител художем
161,Мастер производственного обучения
162,Санитар
163,Фельдшер
164,Главный консультант
165,Врач- офтальмолог
166,Педагог -библиотекарь
167,Врач- хирург
168,Санитарка уборщица палатная
169,Тренер
170,Ведущий консультант отдела организации обеспечения
171,Заведующая отделением социального обслуживания на
172,Кассир билет
173,Мастер высшая кат
174,Подсобный рабочий
175,Машинист по стирке ремонту одежды
176,Главный специалист-эксперт главный бухгалтер
177,Главный специалист- эксперт ответственный секретарь
178,Заведующий отделением врач-уролог
179,Консультант отдела по защите государственной
180,Заместитель руководителя начальник еддс
181,Заместитель работе
182,Начальник отдела
183,Заместитель начальника управления начальник отдела
184,Сестра-хозяйка
185,Врач -дерматовенеролог
186,Фельдшер пункт
187,Специалист по кадрам
188,Главный государственный охотничий инспектор
189,Руководитель аппарата собрания
190,Врач-эндокринолог
191,Начальник отдела отраслевой цифровой трансформации
192,Дворник
193,Старший контролер
194,Заведующий отделением помощи врач помощи
195,Учитель -дефектолог
196,Врач- стоматолог
197,Заместитель врача по амбулаторно работе
198,Столяр
199,Артист оркестра
200,Начальник отдела внедрения сопровождения информационных
201,Фельдшер- лаборант
202,Главный специалист информационно-технического отдела
203,Библиотекарь пвк киреевка
204,Ведущий эксперт управления организации службы
205,Заведующий консультацией-врач-акушер-гинеколог
206,Руководитель центра музейной педагогики
207,Педагог доп образ
208,Ведущий специалист-эксперт отдела по управлению
209,Исполняющий обязанности начальника отдела
210,Главный государственный инженер-инспектор городов районов
211,Главный специалист
212,Мед регистратор
213,Врач-статистик
214,Начальник управления
215,Заведующий отделением профилактики для взрослых-врач
216,Главный бухгалтер-начальник финансового отдела
217,Специалист по связям общественностью
218,Начальник отдела ветеринарно-санитарной экспертизы
219,Начальник отдела правовой работы
220,Врач -невролог
221,Врач-эпидемиолог
222,Рабочая по кухне
223,Редактор-консультант
224,Главный специалист-эксперт по землеустройству отдела
225,Главный специалист-эксперт комиссии по делам
226,Главный специалист-эксперт юридического отдела
227,Заведующий производством
228,Заведующий фельдшерско пунктом-фельдшер
229,Инструктор по физо
230,Начальник участка
231,Музыкальный руководитель
232,Оператор хлораторной установки
233,Директра
234,Ветеринарный лаборант
235,Художник фотограф
236,Вахтер
237,Сестра кабинета врача хирурга
238,Председатель комитета
239,Врач трав -ортопед
240,Заместитель главного-бухгалтера-начальник отдела нефинансовых активов
241,Госинспектор по охране диких животных
242,Заместитель начальника управления
243,Врач- стажер
244,Специалист отдела
245,Рабочий по стирке белья ремонту
246,Главный специалист-эксперт по информационной кадровой
247,Специалист-эксперт
248,Преподаватель отделения
249,Кладовщик инвентаря
250,Заведующий отделением- врач-стоматолог
251,Учитель языка
252,Начальник отдела сетевой инфраструктуры сопровождения
253,Ведущий консультант отдела аналитики цифровизации
254,Младший воспитатель группы
255,Санитарка
256,Механик
257,Санитарка буфетчица
258,Начальник отдела строительства архитектуры
259,Ведущий библиотекарь зала
260,Артист-концертный исполнитель оркестра
261,Врач отделения-врач-терапевт
262,Исполняющий обязанности заместителя главы
263,Врач- психиатр
264,Главный специалист-эксперт по животноводству
265,Заместитель председателя собрания
266,Сестра врача эндокринолога
267,Повар
268,Главный специалист-эксперт по организационной работе
269,Врач-специалист
270,Художник-реставратор
271,Начальник отдела по реализации молодежных
272,Начальник отдела надзоров
273,Заместитель врача по клинико- экспертной
274,Начальник отдела надзора
275,Глава города
276,Кухонный рабочий
277,Заведующий учебно-производственной
278,Уборщик служ помещ отд
279,Старший инспектор-делопроизводитель
280,Учитель организатор обх
281,Заместитель врача
282,Мойщик посуды
283,Тренер-преподаватель р ч
284,Заместитель председателя комитета-начальник отдела культуры
285,Режиссер постановщик
286,Реммастер
287,Ведущий инспектор по кадрам
288,Уборщик служ помещ отд реаб
289,Управляющий сельскохозяйственным участком
290,Ведущий эксперт отдела мобилизационной готовности
291,Слесарь-сантехник ахо
292,Дириж ансамбль народных инструментов
293,Рабочий по благоустройству населенных пунктов
294,Помощник воспитателя
295,Главный специалист- эксперт
296,Учитель опк
297,Врач реабилитационной медицины
298,Начальник отдела экспертизы
299,Аккомпаниатор
300,Уборщик помещений
301,Тренер -преподаватель
302,Художник постановщик
303,Врач окулист
304,Заместитель главный врача
305,Заведующий отделением врач-оториноларинголог
306,Старший мастер обучения
307,Начальник управления планирования зонирования
308,Ведущий инспектор отдела центра занятости
309,Машинист по ремонту стирке спецодежды
310,Учитель искусства
311,Дежурный водитель еддс
312,Заместитель главы города
313,Заместитель министра-начальник управления
314,Системный администратор систем
315,Начальник асф города курска
316,Заместитель директора по спортивной работе
317,Начальник службы
318,Начальник отдела юридического сопровождения услуг
319,Ведущий инженер
320,Педагог доп образования
321,Врач-невропатолог
322,Заведующий терап отд врач тер
323,Техник- программист
324,Заведующий отделением врач по рентгенэндоваскулярным
325,Врач -эндоскопист
326,Социальный педагог
327,Главный специалист-эксперт отдела экономики
328,Заведующий дневным стационаром врач-оториноларинголог
329,Инженер по инвентаризации строений сооружений
330,Руководитель колектива
331,Заведующий сопровождением
332,Инструктор-методист по адаптивной культуре
333,Начальника отдела учета
334,Методист по работе детскими юношесткими
335,Заведующий центром
336,Начальник иссл лаборатории
337,Рентген-лаборант
338,Заместитель начальника финансово-экономического отдела экономист
339,Художник модельер костюма
340,Заместитель начальника еддс
341,Рабочий по кухни
342,Заместитель директора главный инженер
343,Ведущий эксперт управления экономики финансов
344,Специалист по работе еис
345,Начальник управления экономического планирования государственных
346,Учитель истории обществознания
347,Убрщик служебных помещений
348,Заместитель директора по учебной работе
349,Начальник управления правовой работы государственной
350,Техник-энергетик
351,Бухгалтер ревизор
352,Заведующий художественно постановочной частью
353,Редактор-аналитик
354,Ветеринарный врач
355,Уборщик служебных помещений фапа
356,Заведующая отделением реабилитации
357,Художник декоратор
358,Учитель технологии
359,Учитель биологии
360,Специалист по ведению учета
361,Аккомпониатор
362,Врач психиатр- нарколог
363,Врач- терапевт подростковый
364,Начальника юридического отдела
365,Преподаватель духовых инструментов
366,Заведующий хозяйством
367,Заведующий машиноописным бюро
368,Инспектор кадров
369,Сестра кабинета врача трансфузиолога
370,Врач-гериатр
371,Дизайнер-график
372,Ведущий специалист-эксперт отдела кадровой организационной
373,Режиссер
374,Специалист по охране труда
375,Пдо по познав развитию
376,Секретарь -машинистка
377,Заместитель врача по вопросам
378,Врач бактериолог
379,Консультант отдела экономического развития трудовых
380,Глава поселка медвенка
381,Врач стац
382,Консультант отдела жилищно хозяйства щигры
383,Уборщик производственных помещений
384,Сторож теткино
385,Врач акушер гинеколог поликлиники
386,Ведущий спрециалист-эксперт
387,Начальник управления кадровой политики государственной
388,Водитель по труд договору
389,Оперативный дежурный
390,Корреспондент -ой категории
391,Начальник управления организации обеспечения
392,Психолог
393,Заведующий читальным залом
394,Техник
395,Специалист по переданным полномочиям
396,Заместитель дир по хоз части
397,Ведущий бухгалтер контрактный управляющий
398,Начальник отдела по общим вопросам
399,Заведующий отделением врач-физиотерапевт
400,Уборщик служ помощник общепол немед
401,Главный врач медицинского пункта стадиона
402,Рентгенолаборант
403,Специалист по земельным имущественным вопросам
404,Специалист по смм-продвижению
405,Заместитель губернатора
406,Начальник уч-ка
407,Консультант отдела
408,Зубной техник
409,Заведующая сектором обслуживания
410,Врач по физиотерапии
411,Начальник отдела жкх управления строительства
412,Кочегар
413,Ведущий специалист-эксперт отдела апк природопользования
414,Системный администратор
415,Ведущий специалист-эксперт ответственный секретарь комиссии
416,Ведущий библиотекарь абонемента
417,Специалист по вус
418,Дежурный оперативный
419,Концертмейстер
420,Заведующий отделом работы
421,Заведующий кабинетом-врач-методист
422,Врач -стоматолог ортопед
423,Врач-патологоанатом
424,Заместитель начальника
425,Методист лаборатории инновационных проектов обеспечения
426,Библиотекарь центра правовой информации
427,Уборщик служ помещ
428,Заместитель начальника отдела программир-я обслуж-я
429,Консультант управления финансов
430,Врач-педиатр орви
431,Врач ультразвуковой диагностики кабинет врача
432,Помощник руководителя
433,Заведующий садом
434,Врач лаборатории
435,Старший вожатый
436,Учитель информатики
437,Слесарь-монтажник оборудования
438,Заместитель главы по социальным вопросам
439,Врач-трансфузиолог
440,Уборщик производ служеб помещений
441,Начальник управления контроля организации карантина
442,Ведущий специалист-эксперт отдела информатизации предоставления
443,Преподаватель по внеклассной работе
444,Начальник управления делами организационной работы
445,Тренер-преподаватель по адаптивной культуре
446,Консультант отдела правовой организационной кадровой
447,Начальник отдела учета заработной платы
448,Фельд лаборант
449,Техник-смотритель
450,Ведущий специалист- эксперт
451,Рабочий
452,Педагог по предмету
453,Заместитель начальника инспекции-начальник отдела надзора
454,Служебная
455,Ведущий бухгалтер по начислению платы
456,Ведущий эксперт обеспечения
457,Консультант по управлению имуществом
458,Заведующий врачебной амбулаторией-врач-терапевт
459,Специалист -администратор баз данных пэвм
460,Врач-диетолог
461,Заместитель редактора редактор отдела обеспечения
462,Провизор-технолог
463,Редактор отдела
464,Секретарь учебной части
465,Руководитель центра тестирования
466,Заведующий сектором досуговой работы
467,Юрист-консульт
468,Заведующая отделом
469,Ведущий специалист-эксперт отдела загс
470,Осветитель
471,Паспортист
472,Ведущий специалист-эксперт по услугам информационно-коммуникационным
473,Врач общей практики
474,Консультант отдела контроля исполнения бюджетной
475,Редактор сайта
476,Старший фельдшер помощи
477,Заведующий отделением врач-челюстно-лицевой хирург
478,Первый заместитель министра строительства
479,Старший инстуктор-методист
480,Начальник отдела управления аграрной политики
