source_system,department_code,position_name,cleaned_name,category,rate,harm,rank,cluster,etalon_name
1,202,Заместитель начальника управления,Заместитель начальника управления,,,,,242.0,Заместитель начальника управления
1,202,Начальник управления,Начальник управления,,,,,214.0,Начальник управления
1,202,Председатель комитета,Председатель комитета,,,,,238.0,Председатель комитета
1,202,Ведущий эксперт,Ведущий эксперт,,,,,766.0,Ведущий эксперт управления
1,202,Заместитель председателя комитета,Заместитель председателя комитета,,,,,581.0,Заместитель председателя комитета
1,202,Начальник отдела,Начальник отдела,,,,,182.0,Начальник отдела
1,202,Заместитель начальника отдела,Заместитель начальника отдела,,,,,,
1,203,Директор,Директор,,,,,24.0,Директор
1,203,Главный бухгалтер,Главный бухгалтер,,,,,521.0,Главный бухгалтер
1,203,Художественный руководитель,Художественный руководитель,,,,,,
1,203,Заместитель директора,Заместитель директора,,,,,37.0,Заместитель директора
1,203,Заведующий музыкальной частью,Заведующий музыкальной частью,,,,,,
1,203,Секретарь - делопроизводитель,Секретарь делопроизводитель,,,,,646.0,Секретарь-делопроизводитель
1,203,Системный администратор,Системный администратор,,,,,414.0,Системный администратор
1,203,Главный администратор,Главный администратор,,,,,1570.0,Главный администратор
1,203,Артист - солист - ведущий мастер сцены,Артист солист ведущий мастер сцены,,,,,773.0,Артист ведущий мастер сцены
1,212,сторож,Сторож,,,,,560.0,Сторож
1,212,уборщик служебных помещений,Уборщик служебных помещений,,,,,1054.0,Уборщик служебных помещений
1,212,преподаватель,Преподаватель,,,,,139.0,Преподаватель
1,212,концертмейстер,Концертмейстер,,,,,419.0,Концертмейстер
1,212,бухгалтер,Бухгалтер,,,,,61.0,Бухгалтер
1,212,Директор,Директор,,,,,24.0,Директор
1,212,Главный бухгалтер,Главный бухгалтер,,,,,521.0,Главный бухгалтер
1,212,рабочий по комплексному обслуживанию и ремонту зданий,Рабочий по комплексному обслуживанию ремонту зданий,,,,,1663.0,Рабочий по обслуживанию ремонту зданий
1,212,секретарь учебной части,Секретарь учебной части,,,,,464.0,Секретарь учебной части
1,212,вахтёр,Вахт,,,,,236.0,Вахтер
1,212,заведующий хозяйством,Заведующий хозяйством,,,,,366.0,Заведующий хозяйством
1,212,заместитель директора (по учебной работе),Заместитель директора,,,,,37.0,Заместитель директора
1,212,библиотекарь,Библиотекарь,,,,,,
1,212,настройщик пианино и роялей,Настройщик пианино роялей,,,,,1050.0,Настройщик пианино роялей
1,218,Заведующий отделом,Заведующий отделом,,,,,1636.0,Заведующий отделом
1,218,главный библиотекарь,Главный библиотекарь,,,,,781.0,Главный библиотекарь
1,218,Ведущий библиотекарь,Ведущий библиотекарь,,,,,1395.0,Ведущий библиотекарь автоматизации иинформационных технологий
1,218,Уборщик служебных помещений,Уборщик служебных помещений,,,,,1054.0,Уборщик служебных помещений
1,218,Библиотекарь 1 категории,Библиотекарь,1 категория,,,,,
1,218,Заведующий сектором,Заведующий сектором,,,,,527.0,Заведующий сектором
1,218,Главный бухгалтер,Главный бухгалтер,,,,,521.0,Главный бухгалтер
1,218,Заведующий филиалом,Заведующий филиалом,,,,,,
1,218,Главный библиотекарь,Главный библиотекарь,,,,,781.0,Главный библиотекарь
1,218,Инженер-энергетик,Инженер-энергетик,,,,,662.0,Инженер энергетик
1,218,Библиотекарь 2 категории,Библиотекарь,2 категория,,,,,
1,218,Переплетчик документов,Переплетчик документов,,,,,872.0,Переплетчик документов
1,218,сторож,Сторож,,,,,560.0,Сторож
1,218,ведущий юрисконсульт,Ведущий юрисконсульт,,,,,542.0,Юрисконсульт
1,218,Директор,Директор,,,,,24.0,Директор
1,218,Ведущий библиограф,Ведущий библиограф,,,,,1279.0,Ведущий библиограф
1,218,Библиотекарь,Библиотекарь,,,,,,
1,218,Программист,Программист,,,,,104.0,Программист
1,218,Специалист по связям с общественностью,Специалист по связям общественностью,,,,,217.0,Специалист по связям общественностью
1,218,Заведующий архивом,Заведующий архивом,,,,,812.0,Заведующий архивом
1,218,Заместитель директора по основной деятельности,Заместитель директора по основной деятельности,,,,,37.0,Заместитель директора
1,218,Главный библиограф,Главный библиограф,,,,,702.0,Главный библиограф
1,218,Ведущий бухгалтер,Ведущий бухгалтер,,,,,1683.0,Ведущий бухгалтер по учету
1,218,Заместитель директора по библиотечной работе,Заместитель директора по библиотечной работе,,,,,830.0,Заместитель директора по библиотечной работе
1,218,инженер-программист,Инженер-программист,,,,,136.0,Инженер- программист
1,218,ведущий экономист,Ведущий экономист,,,,,571.0,Экономист
1,218, Ведущий инженер-программист,Ведущий инженер-программист,,,,,136.0,Инженер- программист
1,218,библиограф,Библиограф,,,,,1279.0,Ведущий библиограф
1,218,Заместитель директора по административно-хозяйственной части,Заместитель директора по административно-хозяйственной части,,,,,1628.0,Заместитель директора по административно- хозяйственной
1,218,гардеробщик,Гардеробщик,,,,,1304.0,Гардеробщик
1,218,Документовед,Документовед,,,,,535.0,Главный специалист документовед
1,218,Инженер-программист 1 категории,Инженер-программист,1 категория,,,,136.0,Инженер- программист
1,218,Методист,Методист,,,,,57.0,Методист
1,218,Бухгалтер 1 категории,Бухгалтер,1 категория,,,,61.0,Бухгалтер
1,218,Библиограф 1 категории,Библиограф,1 категория,,,,1279.0,Ведущий библиограф
1,218,юрисконсульт,Юрисконсульт,,,,,542.0,Юрисконсульт
1,218,заместитель главного бухгалтера,Заместитель главного бухгалтера,,,,,1679.0,Заместитель бухгалтера
1,218,Специалист по охране труда,Специалист по охране труда,,,,,374.0,Специалист по охране труда
1,218,методист 1 категории,Методист,1 категория,,,,57.0,Методист
1,218,ученый секретарь,Ученый секретарь,,,,,79.0,Секретарь
1,218,Экономист,Экономист,,,,,571.0,Экономист
1,218,Ведущий специалист по охране труда,Ведущий специалист по охране труда,,,,,374.0,Специалист по охране труда
1,218,Заместитель директора по библиотечной деятельности,Заместитель директора по библиотечной деятельности,,,,,830.0,Заместитель директора по библиотечной работе
1,218,Техник,Техник,,,,,394.0,Техник
1,218,Заместитель директора по инновационным направлениям,Заместитель директора по инновационным направлениям,,,,,37.0,Заместитель директора
1,218,документовед,Документовед,,,,,535.0,Главный специалист документовед
1,218,Ведущий инженер- программист,Ведущий инженер- программист,,,,,136.0,Инженер- программист
1,218,Заместитель директора по развитию,Заместитель директора по развитию,,,,,,
1,218,Рабочий по комплексному обслуживанию и ремонту зданий,Рабочий по комплексному обслуживанию ремонту зданий,,,,,1663.0,Рабочий по обслуживанию ремонту зданий
1,218,водитель,Водитель,,,,,62.0,Водитель
1,218,Экономист 1 категории,Экономист,1 категория,,,,571.0,Экономист
1,218,специалист по защите информации 1 категории,Специалист по защите информации,1 категория,,,,1646.0,Специалист по защите информации
1,218,специалист по кадрам,Специалист по кадрам,,,,,187.0,Специалист по кадрам
1,222,зав.отделом,Заведующий отделом,,,,,1636.0,Заведующий отделом
1,222,специалист по защите информации I категории,Специалист по защите информации,1 категория,,,,1646.0,Специалист по защите информации
1,222,библиотекарь I категории,Библиотекарь,1 категория,,,,,
1,222,главный библиотекарь,Главный библиотекарь,,,,,781.0,Главный библиотекарь
1,222,директор,Директор,,,,,24.0,Директор
1,222,главный бухгалтер,Главный бухгалтер,,,,,521.0,Главный бухгалтер
1,222,методист библиотеки I категории,Методист библиотеки,1 категория,,,,57.0,Методист
1,222,уборщик служебных помещений,Уборщик служебных помещений,,,,,1054.0,Уборщик служебных помещений
1,222,зав.сектором семейного чтения,Заведующий сектором семейного чтения,,,,,751.0,Заведующая библиотеки чтения
1,222,библиограф I категории,Библиограф,1 категория,,,,1279.0,Ведущий библиограф
1,222,завсектором по работе с дошкольниками,Завсектором по работе дошкольниками,,,,,608.0,Заместитель директора по учеб работе
1,222,инженер -программист I категории,Инженер -программист,1 категория,,,,136.0,Инженер- программист
1,222,экономист I категории,Экономист,1 категория,,,,571.0,Экономист
1,222,художник,Художник,,,,,144.0,Художник
1,222,бухгалтер I категории,Бухгалтер,1 категория,,,,61.0,Бухгалтер
1,222,сторож,Сторож,,,,,560.0,Сторож
1,222,библиотекарь II категории,Библиотекарь,1 категория,,,,,
1,222,переплетчик документов,Переплетчик документов,,,,,872.0,Переплетчик документов
1,222,рабочий по компл.обслуж. здания,Рабочий по компл обслуж здания,,,,,1633.0,Ведущий инженер по организации эксплуатации
1,222,заместитель директора,Заместитель директора,,,,,37.0,Заместитель директора
1,222,техник,Техник,,,,,394.0,Техник
1,222,документовед 1 категории,Документовед,1 категория,,,,535.0,Главный специалист документовед
1,222,юрисконсульт 1 категории,Юрисконсульт,1 категория,,,,542.0,Юрисконсульт
1,222,подсобный рабочий,Подсобный рабочий,,,,,174.0,Подсобный рабочий
1,222,секретарь,Секретарь,,,,,79.0,Секретарь
1,231,Заместитель министра,Заместитель министра,,,,,546.0,Заместитель министра здравоохранения
1,231,"Заместитель министра – начальник управления грантовой поддержки, музейной деятельности и цифровой трансформации",Заместитель министра начальник управления грантовой поддержки музейной деятельности цифровой трансформации,,,,,313.0,Заместитель министра-начальник управления
1,231,заместитель начальника управления,Заместитель начальника управления,,,,,242.0,Заместитель начальника управления
1,231,Референт,Референт,,,,,1292.0,Референт
1,231,начальник управления,Начальник управления,,,,,214.0,Начальник управления
1,231,Министр культуры,Министр культуры,,,,,866.0,Министр культуры
1,231,Главный консультант,Главный консультант,,,,,164.0,Главный консультант
1,236,Смотритель музейный,Смотритель музейный,,,,,449.0,Техник-смотритель
1,236,Специалист по учетно-хранительской документации,Специалист по учетно-хранительской документации,,,,,496.0,Специалист по документации
1,236,Заведующий выставочным залом,Заведующий выставочным залом,,,,,393.0,Заведующий читальным залом
1,236,Художник компьютерной графики,Художник компьютерной графики,,,,,144.0,Художник
1,236,Заведующий дом-музея Е.Чепцова,Заведующий дом-музея чепцова,,,,,1443.0,Заведующий дом-музея чепцова
1,236,Дворник,Дворник,,,,,192.0,Дворник
1,236,Юрисконсульт,Юрисконсульт,,,,,542.0,Юрисконсульт
1,236,Сторож,Сторож,,,,,560.0,Сторож
1,236,Младший научный сотрудник,Младший научный сотрудник,,,,,36.0,Младший научный сотрудник
1,236,Подсобный рабочий,Подсобный рабочий,,,,,174.0,Подсобный рабочий
1,236,Уборщик служебных помещений,Уборщик служебных помещений,,,,,1054.0,Уборщик служебных помещений
1,236,Научный сотрудник,Научный сотрудник,,,,,36.0,Младший научный сотрудник
1,236,Художник-реставратор,Художник-реставратор,,,,,270.0,Художник-реставратор
1,236,Начальник хозяйственного отдела,Начальник хозяйственного отдела,,,,,1260.0,Заместитель начальника хозяйственного отдела
1,236,Специалист по связям с общественностью,Специалист по связям общественностью,,,,,217.0,Специалист по связям общественностью
1,236,Директор,Директор,,,,,24.0,Директор
1,236,Главный бухгалтер,Главный бухгалтер,,,,,521.0,Главный бухгалтер
1,236,Заведующий библиотекой,Заведующий библиотекой,,,,,,
1,236,Художник-реставратор высшей категории,Художник-реставратор,высшая категория,,,,270.0,Художник-реставратор
1,236,Заведующий реставрационной мастерской,Заведующий реставрационной мастерской,,,,,,
1,236,Старший научный сотрудник,Старший научный сотрудник,,,,,36.0,Младший научный сотрудник
1,236,Рабочий по комплексному обслуживанию и ремонту здания,Рабочий по комплексному обслуживанию ремонту здания,,,,,1663.0,Рабочий по обслуживанию ремонту зданий
1,236,Заведующий филиалом В.М.Клыкова,Заведующий филиалом клыкова,,,,,,
1,236,Заместитель главного бухгалтера,Заместитель главного бухгалтера,,,,,1679.0,Заместитель бухгалтера
1,236,Заведующий отделом массовой работы,Заведующий отделом массовой работы,,,,,986.0,Заведующий отделом массовой работы
1,236,Главный хранитель,Главный хранитель,,,,,1190.0,Главный хранитель
1,236,Заведующий отделом декоративно-прикладного искусства,Заведующий отделом декоративно-прикладного искусства,,,,,1181.0,Заведующий отделом искусства
