cluster_id,position_name
1,Режиссер театра
2,Конюх
3,Заведующий фил
4,Заведующая
5,Уборщик служебных помещений младший
6,Заведующий фапом
7,Специалист обеспечению безопасности движения
8,Заведующая
9,Врач лаборант
10,Заведующий пункт- фельдшер
11,Художественный руководитель
12,Старший тренер преподаватель
13,Слесарь-ремонтик
14,Заведующий
15,Заведующий
16,Глава
17,Киномеханик к-ки
18,Заведующий пунктом акушер
19,Заведующая
20,Заведующий поликлиникой- врач-невролог
21,Заместитель начальника центра
22,Заведующая
23,Начальник
24,Санитарка кабинета
25,Директор центра
26,Оператор электр-вычис вычис машин
27,Первый заместитель главы начальник управления
28,Заведующий
29,Директор
30,Руководитель
31,Врач
32,Инженер
33,Педагог- организатор
34,Художественный руководитель
35,Педагог социальный
36,Педагог
37,Заместитель директора мед части
38,Специалист охране труда уровня
39,Инструктор воспитанию
40,Электромонтер ремонту обслуживанию электрооборудования
41,Заведующий ветучастком
42,Младший научный сотрудник
43,Заместитель директора
44,Управляющий делами
45,Учитель
46,Мастер промыслам
47,Рабочий обслуживанию кортов
48,Ветеринарный фельдшер
49,Воспитатель
50,Главный специалист эксперт архитектор
51,Заведующий отделением паллиативной помощи взрослым-врач
52,Врач- инфекционист
53,Заместитель начальника отдела
54,Преподаватель без кат
55,Заведующий
56,Заместитель врача кэр
57,Врач- педиатр участковый
58,Консультант управления организационной правовой кадровой
59,Врач травматолог-ортопед
60,Председатель
61,Заведующая
62,Учитель- логопед
63,Заведующий
64,Заведующий отделением врач отделения
65,Ведущий специалист диспетчер системы
66,Методист
67,Заведующий ветеринарным участком
68,Сестра кабинета врача-эндоскописта
69,Уборщик служебных помещений пункт
70,Бухгалтер
71,Водитель
72,Сестра врача хирурга
73,Заведующий отделением -врач-хирург
74,Ведущий специалист эксперт отдела социального
75,Начальник управления реестра актовых записей
76,Заведующий лабораторией врач-лаборант
77,Охотовед
78,Машинист погрузочной машины
79,Заведующий
80,Оператор
81,Слесарь газовой
82,Врач диагностии
83,Руководитель формирования
84,Пдо
85,Главный эксперт мобилизационной подготовке
86,Заместитель главы
87,Врач стоматолог-хирург
88,Начальника отдела опеки попечительства
89,Секретарь
90,Ведущий специалист
91,Лектор
92,Техник-электрик
93,Ведущий специалист- эксперт секретарь административной
94,Совместитель
95,Научный сотрудник артист оркестра
96,Начальник отдела архитектуры градостроительства
97,Ведущий инженер программист отдела административно-хозяйственного
98,Начальник отдела- главный бухгалтер
99,Заведующий поликлиникой врач -терапевт
100,Заведующий поликлиникой врач психиатр
101,Заведующий
102,Ведущий специалист-эксперт отдела опеке попечительству
103,Педагог- психолог
104,Заместитель главный врача моб работе
105,Шеф- повар
106,Врач- уролог- андролог
107,Ведущий бухгалтер учету отчетности
108,Специалист контрольно-измерительным приборам автоматике
109,Киномеханик киноустановки
110,Врач-хирург поликлиники
111,Концертмейстер квалификационной категории
112,Врач анестезиолог-реаниматолог
113,Заместитель начальника отдела средств техники
114,Врач- рентгенолог
115,Программист
116,Уборщик служ помещ к-та -стомат
117,Врач- неонатолог
118,Главный специалист-эксперт вопросам образования
119,Работник благоустройству
120,Врач-гастроэнтеролог
121,Артист
122,Водитель автомобиля категории
123,Врач -педиатр
124,Врач ультразвуковой диагностики
125,Ведущий специалист-эксперт отдела защиты населения
126,Охотовед
127,Уборщик помещения
128,Врач стоматолог-терапевт
129,Помощник главы
130,Ведущий менеджер
131,Инструктор методист
132,Водитель отдела транспорта жкх
133,Оператор набора верстки
134,Инженер охране труда
135,Специалист
136,Заместитель директора работе
137,Главный специалист-эксперт референт службы класса
138,Заведующий архивохранилищем отдела комплектования обеспечения
139,Помощник врача -эпидемиолога
140,Заведующий отделением врач-терапевт
141,Маляр
142,Заведующий отделением врач-кардиолог
143,Руководитель
144,Артист-концертный исполнитель коллектива
145,Врач- терапевт
146,Главный специалист отдела учета отчетности
147,Слесарь ремонтник
148,Сестра кабинета врача педиатора ребенка
149,Инженер- программист
150,Заведующий отделением врач-хирург
151,Начальник отдела контроля соблюдением законодательства
152,Преподаватель
153,Секретарь-администратор
154,Заведующий
155,Заместитель председателя правительства министр
156,Санитарка отделения
157,Врач -профпатолог
158,Художник
159,Заведующая отделом обслуживания
160,Помощник повара
161,Заместитель председателя комитета-начальник управления
162,Начальник отдела сопровождения контроля образования
163,Начальник управления строительства архитектуры жкх
164,Учитель математики классы
165,Заместитель начальника еддс старший дежурный
166,Электромеханик ремонту обслуживанию медицинского оборудования
167,Врач фармаколог
168,Ведущий консультант управления организации развития
169,Врач- фтизиатр участковый
170,Библиотекарь
171,Начальник отдела цифровой трансформации управления
172,Специалист отдела загс
173,Лаборатный техник
174,Хормейстер народ коллект любител художем
175,Мастер производственного обучения
176,Санитар
177,Фельдшер
178,Главный консультант
179,Врач- офтальмолог
180,Педагог -библиотекарь
181,Врач- хирург
182,Санитарка уборщица палатная
183,Тренер
184,Ведущий консультант отдела организации обеспечения
185,Заведующая отделением социального обслуживания граждан
186,Кассир билет
187,Мастер высшая кат
188,Подсобный рабочий
189,Машинист стирке ремонту одежды
190,Главный специалист-эксперт главный бухгалтер
191,Главный специалист- эксперт ответственный секретарь
192,Заведующий отделением врач-уролог
193,Заведующий ветеринарным участком
194,Консультант отдела защите государственной тайны
195,Заместитель руководителя начальник еддс
196,Заместитель работе
197,Начальник отдела
198,Заместитель начальника управления начальник отдела
199,Сестра-хозяйка
200,Врач -дерматовенеролог
201,Фельдшер пункт
202,Специалист кадрам
203,Главный государственный охотничий инспектор
204,Руководитель аппарата собрания
205,Врач -эндокринолог
206,Начальник отдела отраслевой цифровой трансформации
207,Дворник
208,Старший контролер
209,Заведующий отделением помощи врач помощи
210,Учитель -дефектолог
211,Врач-стоматолог
212,Заместитель врача амбулаторно работе
213,Столяр
214,Артист оркестра
215,Начальник отдела внедрения сопровождения информационных
216,Фельдшер- лаборант
217,Главный специалист информационно-технического отдела
218,Библиотекарь пвк киреевка
219,Ведущий консультант управления организации службы
220,Заведующий консультацией-врач-акушер-гинеколог
221,Руководитель центра музейной педагогики
222,Педагог доп образ
223,Ведущий специалист-эксперт отдела управлению земельным
224,Заведующая
225,Исполняющий обязанности начальника отдела
226,Главный государственный инженер-инспектор городов районов
227,Главный специалист
228,Мед регистратор
229,Врач-статистик
230,Начальник управления
231,Заведующий отделением профилактики для взрослых-врач
232,Главный бухгалтер-начальник финансового отдела
233,Специалист связям общественностью
234,Начальник отдела ветеринарно-санитарной экспертизы
235,Начальник отдела правовой работы
236,Врач -невролог
237,Врач-эпидемиолог
238,Рабочая кухне
239,Редактор-консультант
240,Главный специалист-эксперт землеустройству отдела имущественных
241,Главный специалист-эксперт комиссии делам несовершеннолетних
242,Главный специалист-эксперт юридического отдела
243,Заведующий производством
244,Заведующий фельдшерско пунктом-фельдшер
245,Инструктор физо
246,Начальник участка
247,Музыкальный руководитель
248,Оператор хлораторной установки
249,Директра
250,Ветеринарный лаборант
251,Художник-фотограф
252,Вахтер
253,Охотовед
254,Сестра кабинета врача хирурга
255,Председатель комитета
256,Директор
257,Врач трав -ортопед
258,Заместитель бухгалтера-начальник отдела
259,Госинспектор охране диких животных
260,Заместитель начальника управления
261,Врач- стажер
262,Специалист отдела
263,Контролер качества обработки одежды белья
264,Главный специалист-эксперт информационной кадровой работе
265,Специалист-эксперт
266,Преподаватель отделения
267,Кладовщик инвентаря
268,Заведующий отделением- врач-стоматолог
269,Начальник отдела
270,Учитель языка
271,Начальник отдела сетевой инфраструктуры сопровождения
272,Ведущий консультант отдела аналитики цифровизации
273,Младший воспитатель группы
274,Санитарка
275,Начальник отдела
276,Механик
277,Санитарка буфетчица
278,Начальник отдела строительства архитектуры
279,Ведущий библиотекарь зала
280,Артист-концертный исполнитель оркестра
281,Врач отделения-врач-терапевт
282,Заместителя главы города
283,Врач- психиатр
284,Ведущий специалист эксперт животноводству управления
285,Заместитель председателя собрания
286,Сестра врача эндокринолога
287,Повар
288,Главный специалист-эксперт организационной работе
289,Врач-специалист
290,Ведущий специалист
291,Художник-реставратор
292,Начальник отдела реализации молодежных проектов
293,Начальник отдела надзоров
294,Заместитель врача клинико- экспертной работе
295,Начальник отдела надзора
296,Глава города
297,Кухонный рабочий
298,Заведующий учебно-производственной
299,Уборщик служ помещ отд
300,Старший инспектор-делопроизводитель
301,Учитель организатор обх
302,Заместитель врача
303,Мойщик посуды
304,Тренер-преподаватель р ч
305,Заместитель председателя комитета-начальник отдела культуры
306,Режиссер постановщик
307,Врач- хирург
308,Реммастер
309,Ведущий инспектор кадрам
310,Уборщик служ помещ отд реаб
311,Управляющий сельскохозяйственным участком
312,Ведущий эксперт отдела мобилизационной готовности
313,Слесарь-сантехник ахо
314,Врач
315,Дириж ансамбль народных инструментов
316,Рабочий благоустройству населенных пунктов
317,Помощник воспитателя
318,Заместитель директора работе
319,Главный специалист- эксперт
320,Учитель опк
321,Врач реабилитационной медицины
322,Начальник отдела экспертизы
323,Аккомпаниатор
324,Уборщик помещений
325,Тренер -преподаватель
326,Художник-постановщик
327,Врач окулист
328,Заместитель главный врача
329,Заведующий отделением врач-оториноларинголог
330,Старший мастер обучения
331,Начальник управления планирования зонирования
332,Ведущий инспектор отдела центра занятости
333,Машинист ремонту стирке спецодежды белья
334,Учитель искусства
335,Учитель
336,Дежурный водитель еддс
337,Заместитель главы города
338,Заместитель министра-начальник управления
339,Системный администратор систем
340,Начальник асф города курска
341,Заместитель директора спортивной работе
342,Начальник службы
343,Начальник отдела юридического сопровождения услуг
344,Ведущий инженер
345,Педагог доп образования
346,Врач-невропатолог
347,Заведующий терап отд врач тер
348,Техник- программист
349,Заведующий отделением врач рентгенэндоваскулярным диагностике
350,Врач -эндоскопист
351,Социальный педагог
352,Главный специалист-эксперт отдела экономики планирования
353,Заведующий дневным стационаром врач-оториноларинголог
354,Заместитель главы
355,Инженер инвентаризации строений сооружений
356,Руководитель колектива
357,Заведующий сопровождением
358,Инструктор-методист адаптивной физкультуре
359,Начальника отдела учета
360,Начальник
361,Методист работе детскими юношесткими объединениями
362,Заведующий центром
363,Начальник иссл лаборатории
364,Рентген-лаборант
365,Заместитель начальника финансово-экономического отдела
366,Художник модельер костюма
367,Заместитель начальника еддс
368,Рабочий кухни
369,Заместитель директора главный инженер
370,Ведущий эксперт управления экономики финансов
371,Специалист работе еис
372,Начальник управления экономического планирования государственных
373,Учитель истории обществознания
374,Убрщик служебных помещений
375,Заместитель директора учебной работе
376,Начальник управления правовой работы государственной
377,Техник-энергетик
378,Бухгалтер ревизор
379,Заведующий художественно постановочной частью
380,Редактор-аналитик
381,Заведующая
382,Ветеринарный врач
383,Уборщик служебных помещений фапа
384,Заведующая отделением реабилитации
385,Художник декоратор
386,Учитель технологии
387,Учитель биологии
388,Специалист ведению учета
389,Аккомпониатор
390,Врач психиатр- нарколог
391,Врач- терапевт подростковый
392,Начальника юридического отдела
393,Преподаватель духовых инструментов
394,Заведующий хозяйством
395,Специалист отдела
396,Заведующий машиноописным бюро
397,Инспектор кадров
398,Заведующий центром-врач-трансфузиолог
399,Врач-гериатр
400,Дизайнер-график
401,Ведущий специалист-эксперт отдела кадровой организационной
402,Режиссер
403,Специалист охране труда
404,Пдо познав развитию
405,Секретарь -машинистка
406,Заместитель врача вопросам
407,Врач бактериолог
408,Консультант отдела экономического развития трудовых
409,Глава поселка медвенка
410,Врач стац
411,Консультант отдела жилищно хозяйства щигры
412,Уборщик производственных помещений
413,Сторож теткино
414,Врач акушер гинеколог поликлиники
415,Ведущий спрециалист-эксперт
416,Начальник управления кадровой политики государственной
417,Водитель труд договору
418,Оперативный дежурный
419,Корреспондент -ой категории
420,Начальник управления организации обеспечения
421,Психолог
422,Заведующий читальным залом
423,Техник
424,Специалист переданным полномочиям
425,Заместитель дир хоз части
426,Ведущий бухгалтер контрактный управляющий
427,Начальник отдела общим вопросам
428,Заведующий отделением врач-физиотерапевт
429,Уборщик служ помощник общепол немед
430,Главный врач медицинского пункта стадиона
431,Рентгенолаборант
432,Специалист земельным имущественным вопросам
433,Специалист смм-продвижению
434,Заместитель губернатора
435,Начальник уч-ка
436,Заведующая
437,Консультант отдела
438,Зубной техник
439,Заведующая сектором обслуживания
440,Врач физиотерапии
441,Начальник отдела жкх управления строительства
442,Кочегар
443,Ведущий специалист-эксперт отдела апк природопользования
444,Системный администратор
445,Ведущий специалист-эксперт ответственный секретарь комиссии
446,Ведущий библиотекарь абонемента
447,Специалист вус
448,Дежурный оперативный
449,Концертмейстер
450,Заведующий отделом работы
451,Заведующий кабинетом-врач-методист
452,Врач -стоматолог ортопед
453,Врач-патологоанатом
454,Заместитель директора работе
455,Заместитель начальника
456,Методист лаборатории инновационных проектов обеспечения
457,Библиотекарь центра правовой информации
458,Уборщик служ помещ
459,Заместитель начальника отдела программир-я обслуж-я
460,Консультант управления финансов
461,Врач-педиатр орви
462,Врач ультразвуковой диагностики кабинет врача
463,Помощник руководителя
464,Заведующий садом
465,Врач лаборатории
466,Старший вожатый
467,Учитель информатики
468,Слесарь-монтажник оборудования
469,Заместитель главы социальным вопросам
470,Врач-трансфузиолог
471,Уборщик производ служеб помещений
472,Начальник управления контроля организации карантина
473,Ведущий специалист-эксперт отдела информатизации предоставления
474,Преподаватель внеклассной работе
475,Начальник управления делами организационной работы
476,Тренер-преподаватель адаптивной культуре
477,Консультант отдела правовой организационной кадровой
478,Начальник отдела учета заработной платы
479,Фельд лаборант
480,Техник-смотритель
481,Ведущий специалист- эксперт
482,Рабочий
483,Педагог предмету
484,Заместитель начальника инспекции-начальник отдела надзора
485,Служебная
486,Ведущий бухгалтер начислению платы
487,Главный эксперт обеспечения
488,Консультант управлению имуществом
489,Заведующий врачебной амбулаторией-врач-терапевт
490,Специалист -администратор баз данных пэвм
491,Врач-диетолог
492,Заместитель редактора редактор отдела обеспечения
493,Провизор-технолог
494,Библиотекарь
495,Редактор отдела
496,Секретарь учебной части
